Store,Date,Flavor,Is Season Flavor,Quantity,Listed By
Store A,2023-07-17,Chocolate,No,50,John
Store A,2023-07-17,Strawberry,Yes,45,Sarah
Store A,2023-07-17,Vanilla,No,55,John
Store A,2023-07-17,Mint,No,60,Sarah
Store A,2023-07-16,Chocolate,No,49,John
Store A,2023-07-16,Strawberry,Yes,44,Sarah
Store A,2023-07-16,Vanilla,No,54,John
Store A,2023-07-16,Mango,Yes,59,Sarah
Store A,2023-07-15,Chocolate,No,48,John
Store A,2023-07-15,Strawberry,Yes,43,Sarah
Store A,2023-07-15,Vanilla,No,53,John
Store A,2023-07-15,Lemon,Yes,58,Sarah
Store A,2023-07-14,Chocolate,No,47,John
Store A,2023-07-14,Strawberry,Yes,42,Sarah
Store A,2023-07-14,Vanilla,No,52,John
Store A,2023-07-14,Raspberry,Yes,57,Sarah
Store A,2023-07-13,Chocolate,No,46,John
Store A,2023-07-13,Strawberry,Yes,41,Sarah
Store A,2023-07-13,Vanilla,No,51,John
Store A,2023-07-13,Blueberry,Yes,56,Sarah
Store A,2023-07-12,Chocolate,No,45,John
Store A,2023-07-12,Strawberry,Yes,40,Sarah
Store A,2023-07-12,Vanilla,No,50,John
Store A,2023-07-12,Watermelon,Yes,55,Sarah
Store A,2023-07-11,Chocolate,No,44,John
Store A,2023-07-11,Strawberry,Yes,39,Sarah
Store A,2023-07-11,Vanilla,No,49,John
Store A,2023-07-11,Cherry,Yes,54,Sarah
Store A,2023-07-10,Chocolate,No,43,John
Store A,2023-07-10,Strawberry,Yes,38,Sarah
Store A,2023-07-10,Vanilla,No,48,John
Store A,2023-07-10,Grape,Yes,53,Sarah
Store A,2023-07-09,Chocolate,No,42,John
Store A,2023-07-09,Strawberry,Yes,37,Sarah
Store A,2023-07-09,Vanilla,No,47,John
Store A,2023-07-09,Peach,Yes,52,Sarah
Store A,2023-07-08,Chocolate,No,41,John
Store A,2023-07-08,Strawberry,Yes,36,Sarah
Store A,2023-07-08,Vanilla,No,46,John
Store A,2023-07-08,Coconut,Yes,51,Sarah
Store A,2023-07-07,Chocolate,No,40,John
Store A,2023-07-07,Strawberry,Yes,35,Sarah
Store A,2023-07-07,Vanilla,No,45,John
Store A,2023-07-07,Blackberry,Yes,50,Sarah
Store A,2023-07-06,Chocolate,No,39,John
Store A,2023-07-06,Strawberry,Yes,34,Sarah
Store A,2023-07-06,Vanilla,No,44,John
Store A,2023-07-06,Orange,Yes,49,Sarah
Store A,2023-07-05,Chocolate,No,38,John
Store A,2023-07-05,Strawberry,Yes,33,Sarah
Store A,2023-07-05,Vanilla,No,43,John
Store A,2023-07-05,Green Apple,Yes,48,Sarah
Store A,2023-07-04,Chocolate,No,37,John
Store A,2023-07-04,Strawberry,Yes,32,Sarah
Store A,2023-07-04,Vanilla,No,42,John
Store A,2023-07-04,Pineapple,Yes,47,Sarah
Store A,2023-07-03,Chocolate,No,36,John
Store A,2023-07-03,Strawberry,Yes,31,Sarah
Store A,2023-07-03,Vanilla,No,41,John
Store A,2023-07-03,Mint,Yes,46,Sarah
Store B,2023-07-17,Chocolate,No,50,David
Store B,2023-07-17,Strawberry,No,45,Emily
Store B,2023-07-17,Vanilla,Yes,55,David
Store B,2023-07-17,Mint,Yes,60,Emily
Store B,2023-07-16,Chocolate,No,49,David
Store B,2023-07-16,Strawberry,No,44,Emily
Store B,2023-07-16,Vanilla,Yes,54,David
Store B,2023-07-16,Mango,Yes,59,Emily
Store B,2023-07-15,Chocolate,No,48,David
Store B,2023-07-15,Strawberry,No,43,Emily
Store B,2023-07-15,Vanilla,Yes,53,David
Store B,2023-07-15,Lemon,Yes,58,Emily
Store B,2023-07-14,Chocolate,No,47,David
Store B,2023-07-14,Strawberry,No,42,Emily
Store B,2023-07-14,Vanilla,Yes,52,David
Store B,2023-07-14,Raspberry,Yes,57,Emily
Store B,2023-07-13,Chocolate,No,46,David
Store B,2023-07-13,Strawberry,No,41,Emily
Store B,2023-07-13,Vanilla,Yes,51,David
Store B,2023-07-13,Blueberry,Yes,56,Emily
Store B,2023-07-12,Chocolate,No,45,David
Store B,2023-07-12,Strawberry,No,40,Emily
Store B,2023-07-12,Vanilla,Yes,50,David
Store B,2023-07-12,Watermelon,Yes,55,Emily
Store B,2023-07-11,Chocolate,No,44,David
Store B,2023-07-11,Strawberry,No,39,Emily
Store B,2023-07-11,Vanilla,Yes,49,David
Store B,2023-07-11,Cherry,Yes,54,Emily
Store B,2023-07-10,Chocolate,No,43,David
Store B,2023-07-10,Strawberry,No,38,Emily
Store B,2023-07-10,Vanilla,Yes,48,David
Store B,2023-07-10,Grape,Yes,53,Emily
Store B,2023-07-09,Chocolate,No,42,David
Store B,2023-07-09,Strawberry,No,37,Emily
Store B,2023-07-09,Vanilla,Yes,47,David
Store B,2023-07-09,Peach,Yes,52,Emily
Store B,2023-07-08,Chocolate,No,41,David
Store B,2023-07-08,Strawberry,No,36,Emily
Store B,2023-07-08,Vanilla,Yes,46,David
Store B,2023-07-08,Coconut,Yes,51,Emily
Store B,2023-07-07,Chocolate,No,40,David
Store B,2023-07-07,Strawberry,No,35,Emily
Store B,2023-07-07,Vanilla,Yes,45,David
Store B,2023-07-07,Blackberry,Yes,50,Emily
Store B,2023-07-06,Chocolate,No,39,David
Store B,2023-07-06,Strawberry,No,34,Emily
Store B,2023-07-06,Vanilla,Yes,44,David
Store B,2023-07-06,Orange,Yes,49,Emily
Store B,2023-07-05,Chocolate,No,38,David
Store B,2023-07-05,Strawberry,No,33,Emily
Store B,2023-07-05,Vanilla,Yes,43,David
Store B,2023-07-05,Green Apple,Yes,48,Emily
Store B,2023-07-04,Chocolate,No,37,David
Store B,2023-07-04,Strawberry,No,32,Emily
Store B,2023-07-04,Vanilla,Yes,42,David
Store B,2023-07-04,Pineapple,Yes,47,Emily
Store B,2023-07-03,Chocolate,No,36,David
Store B,2023-07-03,Strawberry,No,31,Emily
Store B,2023-07-03,Vanilla,Yes,41,David
Store B,2023-07-03,Mint,Yes,46,Emily
Store C,2023-07-17,Chocolate,Yes,60,Michael
Store C,2023-07-17,Strawberry,Yes,55,Lisa
Store C,2023-07-17,Vanilla,No,50,Michael
Store C,2023-07-17,Mint,No,45,Lisa
Store C,2023-07-16,Chocolate,Yes,59,Michael
Store C,2023-07-16,Strawberry,Yes,54,Lisa
Store C,2023-07-16,Vanilla,No,49,Michael
Store C,2023-07-16,Mint,No,44,Lisa
Store C,2023-07-15,Chocolate,Yes,58,Michael
Store C,2023-07-15,Strawberry,Yes,53,Lisa
Store C,2023-07-15,Vanilla,No,48,Michael
Store C,2023-07-15,Mint,No,43,Lisa
Store C,2023-07-14,Chocolate,Yes,57,Michael
Store C,2023-07-14,Strawberry,Yes,52,Lisa
Store C,2023-07-14,Vanilla,No,47,Michael
Store C,2023-07-14,Mint,No,42,Lisa
Store C,2023-07-13,Chocolate,Yes,56,Michael
Store C,2023-07-13,Strawberry,Yes,51,Lisa
Store C,2023-07-13,Vanilla,No,46,Michael
Store C,2023-07-13,Mint,No,41,Lisa
Store C,2023-07-12,Chocolate,Yes,55,Michael
Store C,2023-07-12,Strawberry,Yes,50,Lisa
Store C,2023-07-12,Vanilla,No,45,Michael
Store C,2023-07-12,Mint,No,40,Lisa
Store C,2023-07-11,Chocolate,Yes,54,Michael
Store C,2023-07-11,Strawberry,Yes,49,Lisa
Store C,2023-07-11,Vanilla,No,44,Michael
Store C,2023-07-11,Mint,No,39,Lisa
Store C,2023-07-10,Chocolate,Yes,53,Michael
Store C,2023-07-10,Strawberry,Yes,48,Lisa
Store C,2023-07-10,Vanilla,No,43,Michael
Store C,2023-07-10,Mint,No,38,Lisa
Store C,2023-07-09,Chocolate,Yes,52,Michael
Store C,2023-07-09,Strawberry,Yes,47,Lisa
Store C,2023-07-09,Vanilla,No,42,Michael
Store C,2023-07-09,Mint,No,37,Lisa
Store C,2023-07-08,Chocolate,Yes,51,Michael
Store C,2023-07-08,Strawberry,Yes,46,Lisa
Store C,2023-07-08,Vanilla,No,41,Michael
Store C,2023-07-08,Mint,No,36,Lisa
Store C,2023-07-07,Chocolate,Yes,50,Michael
Store C,2023-07-07,Strawberry,Yes,45,Lisa
Store C,2023-07-07,Vanilla,No,40,Michael
Store C,2023-07-07,Mint,No,35,Lisa
Store C,2023-07-06,Chocolate,Yes,49,Michael
Store C,2023-07-06,Strawberry,Yes,44,Lisa
Store C,2023-07-06,Vanilla,No,39,Michael
Store C,2023-07-06,Mint,No,34,Lisa
Store C,2023-07-05,Chocolate,Yes,48,Michael
Store C,2023-07-05,Strawberry,Yes,43,Lisa
Store C,2023-07-05,Vanilla,No,38,Michael
Store C,2023-07-05,Mint,No,33,Lisa
Store C,2023-07-04,Chocolate,Yes,47,Michael
Store C,2023-07-04,Strawberry,Yes,42,Lisa
Store C,2023-07-04,Vanilla,No,37,Michael
Store C,2023-07-04,Mint,No,32,Lisa
Store C,2023-07-03,Chocolate,Yes,46,Michael
Store C,2023-07-03,Strawberry,Yes,41,Lisa
Store C,2023-07-03,Vanilla,No,36,Michael
Store C,2023-07-03,Mint,No,31,Lisa
